Company,Category,Question Number,Question,Answer,
Alphabet,Corporate Governance,Q172,How does Alphabet evaluate CEO performance and incentives?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Market & Competition,Q173,What is Amazon's market share in its primary business segments?,"The company identifies major competitors and outlines strategic advantages, such as technology leadership and global scale.",
Microsoft,Workforce & DEI,Q174,How many employees did Microsoft have at the end of 2024?,"The company emphasizes employee health, benefits, and development programs, alongside flexible work arrangements.",
Microsoft,Workforce & DEI,Q175,How does Microsoft describe its remote or hybrid work strategy?,"The company plans to expand cloud services, strengthen AI offerings, and increase global market presence over the next few years.",
Amazon,Market & Competition,Q176,How does Amazon define its key competitors?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Strategy & Outlook,Q177,What are Amazon's strategic priorities for the next fiscal year?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Workforce & DEI,Q178,How many employees did Microsoft have at the end of 2024?,"The company emphasizes employee health, benefits, and development programs, alongside flexible work arrangements.",
Amazon,Market & Competition,Q179,How did Amazon respond to competitive threats in 2024?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Corporate Governance,Q180,Does Amazon report any changes in executive compensation policy?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Alphabet,Corporate Governance,Q181,What governance risks does Alphabet highlight in their 10-K?,"The board maintains oversight of risk and strategy, with a majority of independent directors and regular governance reviews.",
Microsoft,Technology & R&D,Q182,Which new technologies did Microsoft focus on developing?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Market & Competition,Q183,How does Microsoft define its key competitors?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Workforce & DEI,Q184,How many employees did Microsoft have at the end of 2024?,"The company emphasizes employee health, benefits, and development programs, alongside flexible work arrangements.",
Amazon,Workforce & DEI,Q185,How does Amazon ensure employee well-being?,"The company emphasizes employee health, benefits, and development programs, alongside flexible work arrangements.",
Amazon,Technology & R&D,Q186,What were Amazon's major R&D investments in 2024?,"The company significantly invested in R&D, focusing on AI, cloud computing, and security technologies to maintain competitive advantage.",
Amazon,Technology & R&D,Q187,Which new technologies did Amazon focus on developing?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Alphabet,Sustainability / ESG,Q188,What are Alphabet's main sustainability priorities?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Strategy & Outlook,Q189,What are Microsoft's strategic priorities for the next fiscal year?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Market & Competition,Q190,What industry trends could threaten Amazon's future growth?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Strategy & Outlook,Q191,How is Amazon investing to support future expansion?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Alphabet,Workforce & DEI,Q192,How many employees did Alphabet have at the end of 2024?,"The company emphasizes employee health, benefits, and development programs, alongside flexible work arrangements.",
Amazon,Legal & Compliance,Q193,What major lawsuits or regulatory actions did Amazon disclose?,The company disclosed ongoing regulatory investigations and outlines risk mitigation strategies in compliance with local and international laws.,
Microsoft,Technology & R&D,Q194,Which new technologies did Microsoft focus on developing?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Amazon,Technology & R&D,Q195,How does Amazon protect its intellectual property?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Strategy & Outlook,Q196,What are Microsoft's major goals for 2025 and beyond?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Corporate Governance,Q197,Does Microsoft report any changes in executive compensation policy?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Sustainability / ESG,Q198,What are Microsoft's main sustainability priorities?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Sustainability / ESG,Q199,What environmental initiatives did Microsoft implement in 2024?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
Microsoft,Strategy & Outlook,Q200,What are Microsoft's strategic priorities for the next fiscal year?,"The company addresses this topic briefly in its 10-K, highlighting relevant data, risks, or initiatives.",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
